key_wikidata,name,country,founded,stadium,key_transfermarkt,key_fbref,key_soccerway,key_opta,key_espn
Q7208803,Pol. Virtus Castelfranco Calcio,Italy,1959-01-01,,25737,,,,
Q119519279,Q119519279,France,1919-01-01,,,,,,
Q2244738,VV West Frisia,Netherlands,,,,,,,
Q879384,TSG Balingen,Germany,1848-01-01,,,,,,
Q1346562,Young Africans FC,The Gambia,,,,,,,
Q65076402,TS Sporting F.C.,South Africa,2016-01-01,,67246,,,,
Q16450721,FK Hidrogeologija,Lithuania,,,,,,,
Q18662467,Turun Pallo,Finland,1951-01-01,,,,,,
Q128637610,Q128637610,Argentina,,,,,,,
Q15293838,Bispgårdens IF,Sweden,1905-01-01,,,,,,
Q618564,Gamtel FC,The Gambia,1998-01-01,,,,,,
Q616027,Mogoditshane Fighters,Botswana,1925-01-01,Molepolole Stadium,42119,,19648,,
Q2793615,Rápido de Bouzas,Spain,1914-01-01,Estadio Baltasar Pujales,,a3223574,,,
Q12297363,Q12297363,Bulgaria,,,,,,,
Q97332680,Toronto Skillz FC,Canada,,,,,,,
Q249612,Club Sport Emelec,Ecuador,1929-04-28,Estadio George Capwell,4561,,649,,
Q11859294,Q11859294,Finland,,,,,,,
Q9366749,Q9366749,Poland,,,,,,,
Q16324846,Tårnby FF,Denmark,,Q16324968,,,,,
Q18342680,Shobi University sport club,,,,,,,,
Q138544865,FC Dena Yasuj,,,,,,,,
Q20104977,Q20104977,Spain,,,,,,,
Q10337140,Nô Pintcha FC dos Mosteiros,Cape Verde,,,,,,,
Q119519734,Q119519734,France,,,,,,,
Q2819508,A.S. Mulhouse,France,1903-01-01,,,,,,
Q9199083,Brisbane Force Football Club,Australia,1972-01-01,,,,,,
Q12654265,FC Hegelmann,Lithuania,2009-01-01,,69752,,30665,,
Q12297355,Q12297355,Bulgaria,,,,,,,
Q123917218,Q123917218,,,,,,,,
Q591993,Union Sportive Madinet El Harrach,Algeria,1935-01-01,Stade 1er Novembre 1954,,,,,
Q12297377,Q12297377,Bulgaria,,,,,,,
Q793379,Ayvalıkgücü Belediyespor,Turkey,1966-01-01,,,,,,
Q109507737,Comminges Saint-Gaudens Football 2014,France,1940-11-05,,,,,,
Q20807117,Cape Town All Stars F.C.,South Africa,,Athlone Stadium,,,,,
Q16007313,Ifestos,,,,,,,,
Q10291720,Q10291720,Portugal,,,,,,,
Q11794274,FC Nyva Myronivka,Ukraine,,,,,,,
Q6964331,Nantlle Vale F.C.,United Kingdom,,,,,,,
Q29075569,Méhkeréki SE,Hungary,1950-01-01,,,,,,
Q116215042,Q116215042,Italy,,,,,,,
Q7825998,Tornado Måløy FK,Norway,2003-01-01,Måløy stadion,,,,,
Q120458868,FC Kudrivka,Ukraine,1982-01-01,,87879,,62760,,
Q6048161,International Allies F.C.,Ghana,1996-01-01,Tema Sports Stadium,,,,,
Q25450501,Al-Tobad Club,Saudi Arabia,,,,,,,
Q290476,Étoile Filante (Lomé),Togo,1932-01-01,,26930,,,,
Q2540223,Q2540223,Belgium,,,,,,,
Q128230728,Real Malabar FC,India,,,,,,,
Q18071966,Çine Madranspor,Turkey,1926-01-01,,,,,,
Q7567489,South Hobart SC,Australia,1910-01-01,South Hobart Ground,,,,,
Q5137075,Clydebank Rovers F.C.,,,,,,,,
